InstanceSizeFlexibilityGroup,ArmSkuName,Ratio
MS Series High Memory,Standard_M128m,2
MS Series High Memory,Standard_M128-32ms,2
MS Series High Memory,Standard_M128ms,2
MS Series High Memory,Standard_M128-64ms,2
MSv2 Series,Standard_M208s_v2,1
MSv2 Series,Standard_M416s_v2,2
MSv2 Series High Memory,Standard_M208ms_v2,1
MSv2 Series High Memory,Standard_M416ms_v2,2
NC Series,Standard_NC6,1
NC Series,Standard_NC12,2
NC Series,Standard_NC24,4
NC Series Low Latency,Standard_NC24r,1
NCSv2 Series,Standard_NC6s_v2,1
NCSv2 Series,Standard_NC12s_v2,2
NCSv2 Series,Standard_NC24s_v2,4
NCSv2 Series Low Latency,Standard_NC24rs_v2,1
NCSv3 Series,Standard_NC6s_v3,1
NCSv3 Series,Standard_NC12s_v3,2
NCSv3 Series,Standard_NC24s_v3,4
NCSv3 Series Low Latency,Standard_NC24rs_v3,1
NDS Series,Standard_ND6s,1
NDS Series,Standard_ND12s,2
NDS Series,Standard_ND24s,4
NDS Series Low Latency,Standard_ND24rs,1
NV Series,Standard_NV6,1
NV Series,Standard_NV12,2
NV Series,Standard_NV24,4
NVSv3 Series,Standard_NV12s_v3,1
NVSv3 Series,Standard_NV24s_v3,2
NVSv3 Series,Standard_NV48s_v3,4
NVSv3 Series High Memory,Standard_NV24ms_v3,1
NVSv3 Series High Memory,Standard_NV32ms_v3,1.333333333
